2.69	-1	33.263
2.7	-1	32.556
2.71	-1	32.083
2.72	-1	31.838
2.73	-1	31.576
2.74	-1	32.002
2.75	-1	30.362
2.76	-1	30.761
2.77	-1	29.776
2.78	-1	30.983
2.79	-1	29.548
2.8	-1	29.586
2.81	-1	29.256
2.82	-1	30.024
2.83	-1	29.218
2.84	-1	28.881
2.85	-1	28.455
2.86	-1	28.919
2.87	-1	27.549
2.88	-1	27.668
2.89	-1	28.051
2.9	-1	26.685
2.91	-1	27.258
2.92	-1	26.762
2.93	-1	27.623
2.94	-1	27.067
2.95	-1	26.257
2.96	-1	26.171
2.97	-1	25.621
2.98	-1	27.077
2.99	-1	25.153
3	-1	23.993
3.01	-1	24.454
3.02	-1	24.273
3.03	-1	23.453
3.04	-1	24.14
3.05	-1	24.446
3.06	-1	23.242
3.07	-1	22.602
3.08	-1	22.632
3.09	-1	22.914
3.1	-1	22.436
3.11	-1	21.271
3.12	-1	22.281
3.13	-1	22.041
3.14	-1	20.596
3.15	-1	21.333
3.16	-1	21.378
3.17	-1	21.033
3.18	-1	20.289
3.19	-1	20.705
3.2	-1	19.343
3.21	-1	18.763
3.22	-1	20.005
3.23	-1	19.305
3.24	-1	19.341
3.25	-1	18.303
3.26	-1	19.307
3.27	-1	17.955
3.28	-1	18.332
3.29	-1	17.187
3.3	-1	17.002
3.31	-1	16.797
3.32	-1	16.859
3.33	-1	16.974
3.34	-1	17.009
3.35	-1	16.749
3.36	-1	16.3
3.37	-1	16.044
3.38	-1	15.371
3.39	-1	14.951
3.4	-1	14.96
3.41	-1	15.019
3.42	-1	14.202
3.43	-1	15.086
3.44	-1	14.788
3.45	-1	14.14
3.46	-1	13.76
3.47	-1	12.814
3.48	-1	11.781
3.49	-1	12.346
3.5	-1	11.821
3.51	-1	12.635
3.52	-1	12.814
3.53	-1	11.896
3.54	-1	11.294
3.55	-1	10.745
3.56	-1	10.726
3.57	-1	11.1
3.58	-1	10.485
3.59	-1	11.19
3.6	-1	9.5665
3.61	-1	8.4022
3.62	-1	9.5714
3.63	-1	8.7363
3.64	-1	9.2641
3.65	-1	8.8248
3.66	-1	9.2626
3.67	-1	7.3316
3.68	-1	8.2271
3.69	-1	8.0973
3.7	-1	6.8494
3.71	-1	7.7805
3.72	-1	8.1093
3.73	-1	6.8498
3.74	-1	7.0202
3.75	-1	6.3462
3.76	-1	5.2412
3.77	-1	6.0357
3.78	-1	5.2446
3.79	-1	5.0808
3.8	-1	5.2422
3.81	-1	5.1442
3.82	-1	3.672
3.83	-1	5.0631
3.84	-1	4.3467
3.85	-1	3.6306
3.86	-1	3.9824
3.87	-1	2.768
3.88	-1	3.0271
3.89	-1	3.1888
3.9	-1	2.3195
3.91	-1	2.1261
3.92	-1	1.5599
3.93	-1	1.8937
3.94	-1	1.3539
3.95	-1	1.1533
3.96	-1	1.8577
3.97	-1	1.0017
3.98	-1	0.2176
3.99	-1	0.4877
4	1	-0.96629
4.01	1	-0.65585
4.02	1	0.18926
4.03	1	0.2508
4.04	1	0.77382
4.05	1	1.674
4.06	1	1.6657
